"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2002","","","","499535"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2003","","","","517250"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2004","","","","1075487"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2006","","","","1471680"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2005","","","","2608355"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0103","Live swine.","A","Annual","A","Annual","USD","US$","2007","","","","282800"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2007","","","","282800"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2008","","","","11828363"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2005","","","","2608355"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2006","","","","1471680"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2002","","","","499535"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2003","","","","517250"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2004","","","","1075487"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2017","","","","10312553"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2011","","","","6378026"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2009","","","","4082926"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2013","","","","15921292"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2012","","","","19949295"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2014","","","","4480280"
